CA/CK/WCK/CS/RESET shared x32	N7	LP5_U1_CK_C	CK_c_B	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	E4	LP5_U1_WCK0_T	WCK0_t_A	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	U12	LP5_U1_WCK0_T	WCK0_t_B	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	D5	LP5_U1_WCK0_C	WCK0_c_A	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	V11	LP5_U1_WCK0_C	WCK0_c_B	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	E12	LP5_U1_WCK1_T	WCK1_t_A	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	U4	LP5_U1_WCK1_T	WCK1_t_B	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	D11	LP5_U1_WCK1_C	WCK1_c_A	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	V5	LP5_U1_WCK1_C	WCK1_c_B	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	H7	LP5_U1_CS0	CS0_A	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	P9	LP5_U1_CS0	CS0_B	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	G6	LP5_U1_CS1	CS1_A	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	R10	LP5_U1_CS1	CS1_B	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	H1	LP5_U1_RESET_N	RESET_N	offpage
ZQ local resistor	H15	LP5_U1_ZQ_A_240R_TO_VDDQ	ZQ_A	local, not FPGA offpage
