CA/CK/WCK/CS/RESET shared x32	N6	LP5_U0_CK_C	CK_c_B	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	E4	LP5_U0_WCK0_T	WCK0_t_A	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	U8	LP5_U0_WCK0_T	WCK0_t_B	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	D3	LP5_U0_WCK0_C	WCK0_c_A	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	V9	LP5_U0_WCK0_C	WCK0_c_B	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	D9	LP5_U0_WCK1_T	WCK1_t_A	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	V3	LP5_U0_WCK1_T	WCK1_t_B	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	E8	LP5_U0_WCK1_C	WCK1_c_A	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	U4	LP5_U0_WCK1_C	WCK1_c_B	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	D6	LP5_U0_CS0	CS0_A	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	V6	LP5_U0_CS0	CS0_B	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	E6	LP5_U0_CS1	CS1_A	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	U6	LP5_U0_CS1	CS1_B	offpage shared A/B
CA/CK/WCK/CS/RESET shared x32	Y2	LP5_U0_RESET_N	RESET_N	offpage
ZQ local resistor	J15	LP5_U0_ZQ_A_C_240R_TO_VDDQ	ZQ_A_C	local, not FPGA offpage
ZQ local resistor	N7	LP5_U0_ZQ_B_D_240R_TO_VDDQ	ZQ_B_D	local, not FPGA offpage
